date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-11-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.84,0.2446
2010-11-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.02,0.2559
2010-11-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,57.02,3.6281
2010-11-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,14.5,0.9228
2010-11-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.82,0.3069
2010-11-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.99,0.6357
2010-11-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,35.0,2.227
2010-11-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.08,0.5778
2010-11-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.62,0.421
2010-11-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.49,0.604
2010-11-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.1,0.8335
2010-11-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.23,0.1421
2010-11-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.36,0.1503
2010-11-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,4.42,0.281
2010-12-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.03,0.3201
2010-12-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.53,0.0973
2010-12-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.9,0.2479
2010-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.95,0.2514
